Sample Skill,Similar Skills
dlp,isdn(0.9354846477508545),switchconfiguration(0.9333174824714661),enterprisenetworks(0.926560640335083),ciscorouter(0.9194193482398987),fwsm(0.9172918796539307)
shellscripting,shell(0.9092651009559631),unixshell(0.8765431046485901),unixshellscripting(0.8583439588546753),bash(0.8443229794502258),oraclecustomercare&billing(0.8377612233161926)
shell,unixshellscripting(0.9507738351821899),unixshell(0.9433048367500305),shellscripting(0.9092651605606079),shellscripts(0.8942795395851135),unix shell(0.8930455446243286)
putty,winscp(0.9665693044662476),virtualbox(0.9459947943687439),clearcase(0.938676655292511),pvcs(0.931782603263855),oracle pl(0.9030120372772217)
winscp,putty(0.9665692448616028),visualizer(0.9385004639625549),virtualbox(0.9362159371376038),clearcase(0.9337994456291199),tortoisesvn(0.9278373122215271)
itrs,autosys(0.931491494178772),rpd(0.9266514778137207),performance tuning(0.9181188941001892),tkprof(0.9166802167892456),oracleenterprisemanager(0.9162425994873047)
toad,reportingtools(0.9046755433082581),jdeveloper(0.8936609029769897),oraclesql(0.8850137591362),oracle pl(0.8800839781761169),pl sql(0.8738868236541748)
investmentbanking,re engineering(0.9358450770378113),lending(0.9299329519271851),corebanking(0.9179515242576599),productlifecycle(0.9178836345672607),financialinstruments(0.9114401340484619)
investment,wealthmanagement(0.8685060739517212),retailbanking(0.8653014302253723),federalgovernment(0.854282557964325),clientresearch(0.8497577905654907),auditing(0.8463265299797058)
banking,insurance(0.8340805172920227),telecom(0.7978553175926208),finance(0.772550642490387),retail(0.7489877939224243),generalbanking(0.7169750332832336)
gps,logicalthinking(0.9028049111366272),stronginterpersonal(0.8448262810707092),strategicthinking(0.838774561882019),teamworking(0.8386314511299133),mobilecomputing(0.832422137260437)
asp,netframework(0.9275720715522766),c# aspnet(0.926103949546814),linq(0.9209983348846436),adonet(0.9195809364318848),windowscommunicationfoundation(0.918511152267456)
financialservices,wealthmanagement(0.9182671308517456),bankingandfinancialservices(0.9151085615158081),investmentbanking(0.9020490050315857),mrd(0.8945774435997009),loanorigination(0.8741375207901001)
buildteam,result oriented(0.9078277349472046),ethics(0.8912454843521118),writtenskills(0.8876590728759766),meetcustomerneeds(0.8846572041511536),successfultrackrecord(0.872289776802063)
l1,disasterrecovery(0.9042031168937683),systemadministration(0.8811878561973572),datacenteroperations(0.8756991028785706),ucs(0.8710495233535767),vnx(0.870447039604187)
collections,serialization(0.7656452655792236),threads(0.7638541460037231),jsp servlets(0.7205225825309753),web service(0.7181917428970337),financialmarket(0.7181367874145508)
pl/sql,sql pl(0.9511850476264954),oracle sql(0.930422306060791),mssqlserver(0.92731112241745),oraclepl(0.9262223243713379),oraclesql(0.9256234765052795)
database,sybase sqlserver(0.7603244781494141),databasedesign(0.7520434260368347),relationaldatabases(0.7386483550071716),graphdatabase(0.7315348982810974),databases(0.731303334236145)
sql*plus,cursors(0.9715076684951782),sqlloader(0.9596332907676697),teradata(0.945293664932251),rdbmsdatabase(0.943313479423523),oracledatabases(0.94151371717453)
communicationskills,verbal(0.9261394143104553),writtencommunication(0.9097726345062256),goodcommunication(0.903275191783905),analyticalskills(0.891602635383606),workethics(0.886290431022644)
trigger,microsofttechnology(0.7570862174034119),attendancemanagement(0.7138150334358215),overseasclients(0.6825491786003113),jam(0.6654359698295593),booting(0.6557604074478149)
oracle11g,oraclesql(0.946332573890686),oracle sql(0.9447389841079712),oraclepl(0.9436162710189819),sql pl/sql(0.9418886303901672),sql pl(0.9375952482223511)
shellscripts,unixshellscripting(0.9558085203170776),unixshellscripts(0.947881281375885),unixshell(0.9405655264854431),unix shellscripting(0.9372668266296387),sql pl/sql(0.9370267391204834)
windowsxp,xp(0.9539539813995361),vista(0.9441035985946655),windows7(0.9250748157501221),windows8(0.902459442615509),windows98(0.8967941403388977)
monitoringtool,veritasstoragefoundation(0.9517418146133423),hyperic(0.9480977654457092),aws/ec2(0.9385899901390076),server ubuntu(0.9304975271224976),auto scaling(0.9222866296768188)
ionicframework,responsivewebsites(0.9719097018241882),bootstrap3(0.9710312485694885),rubyonrails(0.9696973562240601),knockout(0.964937150478363),javascript angular(0.9636062979698181)
ionic,uiframeworks(0.984742283821106),sass(0.9611718654632568),bootstrap3(0.9536656141281128),responsivedesign(0.9388825297355652),materialdesign(0.9376537799835205)
responsivedesign,twitterbootstrap(0.9580634236335754),psdtohtml(0.9546164274215698),bootstrap3(0.9528064727783203),d3(0.9525923132896423),sass(0.9493990540504456)
webdesigning,history(0.9221412539482117),webdesign(0.9059750437736511),bootstrap4(0.8746253252029419),nsp(0.8733742237091064),css3(0.869926393032074)
photoshop,adobephotoshop(0.9458812475204468),adobeillustrator(0.9352195262908936),adobedreamweaver(0.933279275894165),illustrator(0.929891049861908),dreamweaver(0.9216442108154297)
api,rest(0.8983429074287415),restapi(0.8606665134429932),webservices(0.8262811899185181),webservice(0.8237631320953369),gcd(0.811194658279419)
d3js,node(0.9324792623519897),rails(0.9306676983833313),javascriptframeworks(0.9295492768287659),javascript ajax(0.9261761903762817),extjs(0.9110655188560486)
sqlserver2005,sqlserver2012(0.9765621423721313),sqlserver2008(0.9759618043899536),microsoftsqlserver(0.967653214931488),ms sql(0.9665150046348572),telerik(0.9513994455337524)
net,aspnet(0.8937656879425049),dotnet(0.8586554527282715),c#(0.8578290939331055),netarchitecture(0.8569213151931763),c#net(0.8409388661384583)
grails,groovy(0.8885061740875244),codecoverage(0.8815686702728271),automationtests(0.8643271327018738),mrm(0.8302674889564514),globalmarketing(0.7698723673820496)
macos x,imp(0.9134716987609863),pl/sqldatabaseoracle12c(0.9132128953933716),export/import(0.8992159366607666),oracleworkflow(0.8952727317810059),hpprinter(0.8930478692054749)
mac,macos(0.8350008130073547),osx(0.8177220225334167),iosgoodlearningabilitymicrosoftoffice(0.7974123954772949),windows7(0.7912039160728455),win7(0.7908491492271423)
macos,windowsvista(0.9587876796722412),osx(0.9572725892066956),macosx(0.9500188231468201),win7(0.9488086700439453),windows81(0.9454782009124756)
os x,windowsnt(0.9396787285804749),mainframes(0.9361450672149658),unix/linux(0.9308603405952454),d2k(0.9210628867149353),o/s(0.9185025691986084)
datastructure,ucm(0.9132877588272095),socket(0.8649454712867737),shellscript(0.8623711466789246),red(0.8621398210525513),datastructures(0.8489211201667786)
microsoftvisualstudio,visualstudio2008(0.9434254765510559),visualstudio2013(0.9424868822097778),visualstudio(0.9356572031974792),xcode(0.9208644032478333),visualstudio2017(0.9200410842895508)
visualstudio,microsoftvisualstudio(0.935657262802124),visualstudiocode(0.8928149342536926),visualstudio2013(0.8591576814651489),visualstudio2008(0.8554930686950684),visualstudio2010(0.854361891746521)
eclipse,ide(0.9218142032623291),ides(0.8852677345275879),intellij(0.8848177790641785),netbeans(0.8836976885795593),sts(0.8612110614776611)
ide,eclipse(0.9218142628669739),netbeans(0.9122349619865417),androidstudio(0.886720597743988),intellij(0.8748342394828796),idetools(0.8602747917175293)
atom,brackets(0.9588385820388794),storm(0.9437432289123535),notepad++(0.9431068897247314),aptana(0.9419079422950745),webstorm(0.9347856044769287)
brackets,atom(0.958838701248169),aptana(0.9434131383895874),notepad++(0.943407416343689),sublimetext(0.9387160539627075),webstorm(0.9302489161491394)
ms office,ms word(0.9239019155502319),internetbrowsing(0.9001866579055786),windowsos(0.8992981314659119),projectreport(0.8965790867805481),msword(0.8858118057250977)
adobephotoshop,adobeillustrator(0.9798169136047363),illustrator(0.968886137008667),adobedreamweaver(0.9669509530067444),dreamweaver(0.9569565653800964),coreldraw(0.9497134685516357)
adobe,photoshop(0.9210150837898254),adobeanalytics(0.9119811058044434),visualdesign(0.9031897187232971),dreamweaver(0.8984215259552002),adobephotoshop(0.8962299227714539)
wamp,netbeanside(0.9357576966285706),rails(0.926267147064209),cordova/phonegap(0.925226092338562),gimp(0.9181041717529297),visual studio(0.9162172079086304)
ilm,adobecreativesuite(0.8990576863288879),drupal(0.8764877915382385),axure(0.8762637376785278),contentmanagementsystems(0.8494543433189392),cms(0.8493911623954773)
innovative,creative(0.8940278887748718),workingindependently(0.868452250957489),innovativeideas(0.8116917610168457),teamenvironment(0.8097742795944214),effectivecommunication(0.8054080605506897)
ux,cms(0.8083608746528625),adobeexperiencemanager(0.7255569100379944),interactiondesign(0.7092941403388977),uim(0.692791223526001),ilm(0.69044029712677)
io,ds(0.8302805423736572),nu(0.828493058681488),cal(0.8248336315155029),oval(0.8183624744415283),jvx(0.804707407951355)
businessunderstanding,qualityassurance(0.8603153824806213),development qualityassurance(0.8581650853157043),web basedapplication(0.8535773158073425),businesssolution(0.8340834975242615),implementnewtechnologies(0.828819990158081)
mentoring,productdevelopment(0.8682976365089417),communicating(0.8213282823562622),cross functional(0.8128716945648193),managemultipleprojects(0.7985619306564331),servicedelivery(0.795304000377655)
co ordinating,communicating(0.925961434841156),businessenvironments(0.9054269194602966),development qualityassurance(0.9039546847343445),designanalysis(0.8882585763931274),reportanalysis(0.887424111366272)
telecom,insurance(0.8476518392562866),banking(0.7978552579879761),healthcare(0.7708766460418701),retail(0.7382696866989136),telecommunication(0.6915220618247986)
understandcustomerneeds,projectmanagementskills(0.8523237705230713),technologyimplementation(0.8236733078956604),itconsulting(0.8043878674507141),productdevelopmentlifecycle(0.8027704954147339),srs(0.8023321628570557)
understandcustomer,excellentwrittenandoralcommunication(0.9210116863250732),interpersonalandproblemsolving(0.9170002341270447),creditresearch(0.9167124629020691),oralcommunications(0.9166489243507385),peoplemanagementskills(0.9143868684768677)
customerneeds,supervising(0.9640429019927979),trainingprograms(0.9598864316940308),businessacumen(0.956070065498352),entrepreneurial(0.955468475818634),researching(0.9518389105796814)
dataarchitecture,bigdata hadoop(0.9124127626419067),legacysystems(0.9035143256187439),etlprocess(0.900318443775177),ml(0.8959952592849731),datatransformation(0.8813433647155762)
bigdata,spark(0.9188076257705688),hadoop(0.9144217371940613),mapreduce(0.9106948375701904),hive(0.9096807241439819),bigdatatechnologies(0.9092323780059814)
mvc,singleton(0.8948398232460022),mvcarchitecture(0.8825293779373169),designpatterns(0.8786864280700684),adonet(0.8784679174423218),wcf(0.8754033446311951)
dataintegration,businessintelligencesolutions(0.9435510635375977),databaseschemas(0.9419878125190735),developedbusiness(0.9375694990158081),datamodels(0.9328135848045349),oltp(0.9311711192131042)
leaflet,microservicesarchitectures(0.919660747051239),ireport(0.9179718494415283),buildingproducts(0.9141905903816223),resteasy(0.9122825860977173),javasecurity(0.9106112122535706)
apiintegration,node js(0.9617690443992615),knockout(0.9320726990699768),c#/net(0.9252663850784302),android api(0.9191290736198425),cordova(0.9179763197898865)
back end,uidesign(0.9439904093742371),clientdevelopment(0.8919663429260254),front endtechnologies(0.877651572227478),front end(0.872394859790802),distributedsystem(0.861297607421875)
telecomdomain,softwarequalityassurance(0.9315335154533386),projectsupport(0.9306488037109375),qatest(0.9215083718299866),mobile web(0.9082350730895996),projectstatus(0.9052276015281677)
rf,ngs(0.8408239483833313),ppo(0.8251339793205261),pervasive(0.8210641145706177),electrical(0.8126937747001648),modelling(0.786465048789978)
workorder,financialsystems(0.9400683641433716),sapsystem(0.9399915337562561),asapmethodology(0.9389734864234924),sfa(0.9361154437065125),milestones(0.9347118139266968)
dataanalytics,visualization(0.8885117769241333),bigdataanalysis(0.8675181865692139),businessintelligence(0.8505602478981018),ml(0.8503790497779846),predictivemodelling(0.843571126461029)
performanceimprovement,customs(0.9175601005554199),resourceandstaffmanagement(0.9146385788917542),bts(0.8973720669746399),operationssupport(0.8955336809158325),subjectmatterexpertise(0.8896709084510803)
analytics,dataanalytics(0.8415977358818054),predictiveanalytics(0.8401045799255371),predictiveanalysis(0.7829926013946533),advancedanalytics(0.7801046371459961),textmining(0.7734550833702087)
cms,contentmanagementsystem(0.8665369749069214),adobeexperiencemanager(0.8497625589370728),ilm(0.8493913412094116),contentmanagementsystems(0.8466634154319763),mailchimphubspot(0.8382862210273743)
medical,medicalterminology(0.8340648412704468),epic(0.8184275031089783),icd(0.8087013959884644),cpt(0.7734187245368958),medicalbilling(0.7676594257354736)
healthcare,insurance(0.867088258266449),telecom(0.7708767652511597),insurancedomain(0.7470542788505554),itsolutions(0.7460106015205383),industryknowledge(0.7403051257133484)
routing,cisco(0.9173726439476013),vlan(0.9099225401878357),routers(0.9017593264579773),ospf(0.897223711013794),juniper(0.8959535360336304)
bfsidomain,rms(0.8892369866371155),salesaffiliates(0.8753612041473389),supportsales(0.8731918334960938),sell(0.8717139959335327),informationmanagement(0.8683118224143982)
approvalprocess,m&a(0.8878870606422424),budgetdevelopment(0.8816604614257812),vendorrelations(0.8799949884414673),counseling(0.8787599802017212),productlines(0.87867671251297)
creditrisk,long termorganizational(0.8978674411773682),sox(0.8946837782859802),financialsystems(0.8886268734931946),shipment(0.8882034420967102),fraud(0.882955014705658)
sme,productmanagement(0.9688418507575989),businessprocessconsulting(0.9367592334747314),monitorprogress(0.9356428384780884),informationmanagement(0.9350503087043762),riskmitigation(0.9314634799957275)
bfsi,projectmanagers(0.9338394999504089),productmanager(0.9221871495246887),consulting(0.8979695439338684),businessanalyst(0.8841772079467773),accountmanagement(0.8725515007972717)
commerce,e commerce(0.911392092704773),cue(0.782918393611908),ecommerce(0.780091404914856),sep(0.7439215183258057),gaming(0.7292911410331726)
research,rapid prototyping(0.7845602631568909),pertinentdata(0.7522979974746704),emergingtechnologies(0.7405863404273987),createawareness(0.7159000039100647),defence(0.711801290512085)
leadership,teambuilding(0.9115138649940491),articulate(0.903825044631958),organizational(0.8843758702278137),timemanagement(0.883272111415863),workethic(0.8777428269386292)
entrepreneurship,creatingnewbusinessopportunities(0.9511684775352478),serco(0.9494175910949707),targetoriented(0.9475613236427307),developcustomer(0.9437804222106934),manufacturing sales(0.9437139630317688)
personalitydevelopment,developmycommunicationskills(0.9384516477584839),conceptsales(0.937102735042572),productivebusinessrelationships(0.9324502348899841),arena(0.9297921061515808),booleansearch(0.9278697967529297)
